source;target;value
0s;0t;24
0s;4t;1
0s;5t;1
0s;8t;1
0s;10t;1
0s;11t;1
0s;12t;1
0s;14t;1
0s;28t;1
0s;31t;1
0s;32t;1
0s;35t;1
0s;38t;1
0s;42t;1
0s;44t;1
0s;47t;1
0s;48t;2
1s;1t;1
1s;22t;2
1s;32t;1
1s;34t;1
2s;2t;2
2s;14t;1
2s;34t;1
2s;42t;2
3s;3t;1
4s;4t;10
4s;22t;2
4s;34t;1
5s;5t;14
5s;9t;1
5s;22t;1
5s;28t;2
5s;31t;1
5s;32t;1
5s;37t;1
5s;48t;1
6s;6t;3
6s;28t;1
7s;17t;1
7s;34t;1
8s;8t;20
8s;9t;2
8s;24t;1
8s;29t;1
8s;30t;1
8s;34t;1
8s;44t;1
9s;9t;4
9s;27t;1
9s;28t;1
9s;31t;2
9s;44t;1
10s;10t;9
10s;12t;1
10s;14t;4
10s;21t;1
10s;27t;1
11s;10t;1
11s;11t;18
11s;14t;1
11s;21t;4
11s;28t;8
11s;34t;2
11s;42t;1
12s;12t;3
12s;13t;1
12s;34t;1
12s;37t;1
12s;38t;1
12s;41t;1
13s;11t;1
13s;12t;2
13s;13t;9
13s;14t;2
13s;23t;1
13s;26t;1
13s;28t;1
14s;13t;2
14s;14t;36
14s;23t;1
14s;28t;3
14s;34t;1
14s;35t;1
14s;38t;2
14s;41t;1
14s;42t;4
14s;48t;5
15s;15t;4
15s;26t;1
16s;7t;2
16s;16t;1
16s;34t;1
17s;17t;1
17s;44t;1
18s;18t;2
18s;32t;1
19s;17t;1
20s;5t;1
20s;22t;1
20s;31t;1
20s;45t;1
21s;11t;1
21s;21t;18
21s;28t;8
22s;4t;3
22s;9t;1
22s;22t;77
22s;28t;1
22s;29t;1
22s;31t;1
22s;32t;2
22s;34t;3
22s;37t;1
22s;42t;1
22s;44t;3
22s;45t;1
23s;14t;2
23s;15t;1
23s;23t;34
23s;26t;2
23s;31t;2
23s;42t;1
24s;0t;1
24s;24t;7
24s;29t;2
24s;34t;1
24s;43t;1
25s;15t;1
25s;27t;2
25s;42t;1
26s;12t;1
26s;13t;2
26s;14t;3
26s;23t;2
26s;26t;2
26s;27t;2
26s;28t;2
26s;31t;1
26s;44t;1
26s;48t;1
27s;21t;1
27s;27t;12
27s;28t;8
27s;38t;1
28s;5t;1
28s;11t;8
28s;15t;1
28s;21t;3
28s;22t;1
28s;23t;2
28s;27t;3
28s;28t;341
28s;30t;2
28s;31t;3
28s;32t;3
28s;34t;2
28s;37t;2
28s;38t;1
28s;42t;1
28s;43t;2
28s;44t;2
28s;48t;4
29s;0t;1
29s;29t;12
29s;32t;2
29s;42t;1
29s;44t;1
30s;28t;1
30s;30t;4
30s;49t;1
31s;0t;1
31s;4t;2
31s;14t;3
31s;22t;1
31s;23t;1
31s;28t;7
31s;31t;77
31s;32t;8
31s;33t;2
31s;34t;5
31s;38t;1
31s;42t;2
31s;44t;3
32s;0t;1
32s;8t;1
32s;12t;1
32s;21t;1
32s;23t;1
32s;28t;1
32s;29t;1
32s;31t;4
32s;32t;48
32s;33t;1
32s;34t;1
32s;42t;2
32s;44t;2
33s;4t;1
33s;11t;1
33s;14t;1
33s;22t;2
33s;28t;5
33s;33t;21
33s;34t;1
33s;43t;1
33s;48t;3
34s;0t;1
34s;5t;1
34s;23t;2
34s;28t;3
34s;31t;4
34s;33t;1
34s;34t;56
34s;42t;1
34s;44t;3
35s;14t;6
35s;28t;1
35s;29t;1
35s;35t;4
35s;36t;1
35s;37t;1
35s;38t;1
35s;42t;1
36s;34t;1
36s;36t;2
37s;13t;1
37s;14t;1
37s;23t;3
37s;27t;1
37s;28t;2
37s;31t;3
37s;37t;14
37s;42t;1
37s;44t;1
38s;0t;1
38s;12t;1
38s;13t;1
38s;14t;3
38s;33t;1
38s;38t;21
38s;42t;1
39s;11t;1
39s;23t;1
39s;28t;1
39s;37t;1
39s;39t;1
39s;48t;1
40s;28t;1
40s;40t;1
41s;26t;1
41s;27t;1
41s;30t;1
41s;41t;6
42s;8t;1
42s;14t;3
42s;18t;1
42s;22t;1
42s;25t;1
42s;27t;2
42s;28t;6
42s;33t;1
42s;34t;2
42s;38t;2
42s;41t;1
42s;42t;46
42s;44t;1
43s;4t;1
43s;15t;1
43s;31t;2
43s;38t;1
43s;43t;5
43s;44t;1
43s;48t;1
44s;5t;1
44s;8t;1
44s;13t;2
44s;14t;1
44s;15t;1
44s;28t;2
44s;31t;1
44s;32t;3
44s;33t;1
44s;42t;3
44s;43t;1
44s;44t;95
44s;48t;3
45s;5t;2
45s;45t;4
46s;14t;1
46s;46t;10
47s;4t;1
47s;8t;1
47s;22t;1
47s;30t;1
47s;31t;2
47s;35t;1
47s;47t;7
48s;28t;9
48s;42t;2
48s;43t;1
48s;44t;6
48s;48t;69
49s;36t;1
49s;49t;2
50s;8t;1
50s;50t;6
